문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
4,상수도 관로의 수리학적 문제 및 수질 문제 해결을 위한 개량 계획 수립에 대한 설명으로 옳은 것은?,"수량과 수압 문제는 관로의 미세한 누수나 균열, 관 내부 침전물과 무관하며, 충분한 수량 공급이 어려울 경우 관로 갱생 대신 관로 교체만이 유일한 해결책이다8.","수리학적 문제를 확인하는 직접적이고 확실한 방법은 비용 문제로 인해 전체 상수도 관로에 적용하기 어렵기 때문에, 간접적인 방법을 통해 확인하는 것이 바람직하다9.","수돗물 수질에 가장 큰 영향을 미치는 요소는 원수의 수질과 정수처리 공정뿐이며, 관로의 노후화는 수질 문제와 직접적인 관련이 없다9.","수질 문제를 해결하기 위해서는 ‘상수도 관망진단 매뉴얼(환경부, 2021)’의 3단계 평가 과정 중 구조적 문제와 누수 문제 해결에만 중점을 두면 된다10.","기존 상수관이 부분적으로 노후되어 있으나 사용에 지장이 없는 경우, 부식 방지 기능만을 부여하고 구조적 문제가 있어도 전체 보강은 불필요하다10.",2,"수리학적 문제를 확인하는 직접적이고 확실한 방법은 관로에 설치된 수량-수압 측정장비를 통하는 것이지만, 장비 설치 및 운영 비용 문제로 전체 상수도 관로에 적용하는 것은 불가능하므로 간접적인 방법을 통해 확인하는 것이 바람직하다9. 관로의 미세한 누수나 균열, 침전물로 인한 관경 축소는 수량-수압 문제와 관련 있으며, 갱생을 통해 해결할 수 있다8. 노후관은 관 내면 부식으로 수질 악화 및 녹물 발생 등을 유발할 수 있다9. 수질 문제 해결을 위해서는 구조적, 누수, 수리학적 문제 해결 외에도 부식, 침전물과 같은 수질 유발 항목의 점수를 산정해야 한다10. 구조적으로 문제가 있는 경우에는 구조의 전체 보강을 통해 복원이 이루어져야 한다10."
5,상수도 관로 갱생공법과 교체공법에 대한 설명으로 옳지 않은 것은?,갱생은 관을 교체하지 않고 기존에 매설된 관의 구조상 기능을 활용하여 악화된 관로의 기능을 개선하는 것을 의미한다11.,"갱생의 목적은 통수능력 회복, 구조적 기능 강화, 적수 발생 및 2차 오염 방지 효과를 도모하는 것이다11.","갱생공법은 교체공법에 비해 공사비가 현장 특성에 따라 상이하지만, 일반적으로 관 교체공사의 50~70% 범위이다11.",갱생공법은 교체공법에 비해 굴착비용을 저감하고 공사기간이 짧으며 교통 통제로 인한 사회적 비용을 줄일 수 있는 장점이 있다12.,"국내에서는 갱생공법별 특징, 장단점, 수명 및 안정성에 대한 신뢰할만한 자료가 충분하고, 전문인력이 풍부하여 갱생공법이 교체공법보다 선호되고 있다13.",5,"국내의 경우 현재 활용중인 갱생공법별 특징과 장단점 및 공법 적용 이후 관로의 수명과 안정성에 대한 품질 보증 등에 대한 신뢰할만한 자료가 부족하다. 또한 상수도 관로에서 발생하는 문제점에 대하여 정확한 판단 이후 상황에 맞는 공법을 적용할 수 있는 전문인력이 부족하여 상수도 관로 관리자들이 갱생공법 대신 교체공법을 선호하고, 이를 현장에 적용하고 있는 실정이다13."
6,갱생공법의 품질 관리 중 비구조적 갱생 공법의 외관(육안) 검사 및 라이닝 두께 검사 기준에 대한 설명으로 옳지 않은 것은?,"라이닝 직후, 경화 이전에 갱생관로의 입-출구에서는 육안으로 라이닝의 유무를 확인해야 한다14.","라이닝 시공 후 기포, 흘러내림, 박리, 구멍 등은 발견되지 않아야 한다15.",핀홀은 고전압 홀리데이 검출기로 검사한다15.,"라이닝 직후 갱생관 입구와 출구 쪽에서 상-하-좌-우 4지점(총 8개 지점)에서 두께를 측정해야 하며, 측정된 두께는 적정두께 이상이 되어야 한다15.",에폭시수지 도료의 라이닝 시공 후 도장 두께 기준은 300㎛ 이상이다16.,5,"에폭시수지 도료 및 폴리우레아, 폴리우레탄 도료의 라이닝 시공 후 도장 두께 기준은 500㎛ 이상이다16."
7,갱생공법의 품질 관리 중 라이닝 시공 후 부착 검사 및 구조적 갱생공법의 검사에 대한 설명으로 옳지 않은 것은?,상수도용 도복장강관의 재도장용 도장재는 누수 방지 및 강관 보호를 위해 양호한 부착력을 보유해야 한다16.,라이닝 시공 후 부착강도 기준은 10 MPa(100 kgf/cm²) 이상이다16.,"구조적 갱생공법의 시공자는 관 내부 보수 내용을 확인할 수 있도록 육안 검사, 사진 촬영 또는 CCTV 파일 등을 제출해야 한다16.","시공된 라이너의 구조적인 물리적 특성 파악을 위해 단기시험으로 인장강도, 굴곡강도, 굴곡탄성률을 측정하여 발주자에게 제출해야 한다17.","시공된 라이너 검사항목 중 수질 관련 항목(탁도, 색도, 냄새 등)은 KS B 1502에 따라 시험한다17.",5,"시공된 라이너 검사항목 중 수질 관련 항목(탁도, 색도, 냄새, 맛, 에피클로로히드린, 톨루엔디이소시아네이트)은 KS D 9502-02에 따라 시험한다."
8,구조적 갱생공법의 현장 검사 중 시공된 라이너 두께 기준에 대한 설명으로 옳지 않은 것은?,"경화가 완료된 라이너에 대해 관내 CCTV 및 육안으로 조사하여 두께 및 관내 들뜸, 요철, 주름 등의 적정 여부를 조사한다18.",현장에서 측정되는 실제 두께는 최소두께 및 최대두께로 구분하여 설계두께의 범위 안에서 만족해야 한다18.,관경 D 450mm 이하의 라이너 최소 두께는 3.0mm 이상이다18.,"관경 D 700mm ~ D 1,000mm의 라이너 최소 두께는 5.0mm 이상이다18.","관경 D 1,200mm의 라이너 최소 두께는 8.0mm 이상이다18.",5,"관경 D 1,200mm의 라이너 최소 두께는 6.0mm 이상이다18."
9,상수도관로 갱생공법 선정 시 고려사항으로 옳지 않은 것은?,"노후화로 인한 파손 및 누수, 부식, 침전물 발생, 피복박리 등 다양한 문제점을 종합적으로 처리하기 위해 모든 노후관은 교체공법을 적용해야 한다19.","밸브나 분기관 등 연결부의 밀집 정도, 관로 주변 환경, 관경, 관종 등도 공법 선정 시 제한요건으로 고려해야 한다19.",문제점 분석을 통해 노후관으로 판정된 상수도 관로에 대해서는 문제점의 우선순위를 고려하여 공법을 선정해야 한다19.,"상수도 관로 관리의 전반적인 방법이었던 무조건적인 교체 대신, 경제적·시간적 요소를 고려하여 가장 이상적인 노후관 갱생(개량) 공법을 선정해야 한다20.","노후관 갱생(개량) 공법 선정 의사결정 과정에서 상수도 관로의 관종, 관경, 단수유지 가능시간 및 기타 고려사항까지 감안하여야 한다20.",1,"문제점을 동시에 처리하기 위해 교체공법을 적용할 수 있으나, 경제적ㆍ환경적 요인을 고려할 때 무조건적인 교체보다는 각 문제점의 우선순위를 감안하여 상황에 맞는 개량공법을 적용해야 한다19."
10,노후 원인(문제점)별 우선순위를 고려한 갱생(개량)공법 선정 과정에 대한 설명으로 옳지 않은 것은?,상수도 관로에서 발생하는 문제점 가운데 관로의 노후도에 가장 큰 영향을 미치는 순서는 구조적 문제 > 이음부 누수 > 수리학적 문제 > 수질 문제 순이다21.,"‘상수도 관망진단 매뉴얼(환경부, 2021)’을 통해 구조적 문제가 확인된 관로는 완전구조적 갱생공법 또는 교체공법을 적용해야 한다21.",아연도강관 등 사용이 금지된 관이나 라이닝 처리가 되어 있지 않은 금속관의 경우 갱생공법 적용이 현실적으로 불가능하므로 교체공법을 적용한다22.,관 사이의 이음부 밀도가 높아 갱생공법 적용이 현실적으로 불가능한 경우에도 완전구조적 갱생공법을 우선 적용해야 한다22.,관로 주변에 타 지하시설물이 밀집되어 저촉 우려가 있는 경우 비굴착 교체공법 중 Pipe bursting 공법 적용을 고려할 수 있다22.,4,관 사이의 이음부 밀도가 높아 갱생공법의 적용이 현실적으로 불가능한 경우 또는 주변 시설물이 거의 없어 굴착공법의 적용이 매우 수월할 경우 교체공법을 적용한다22.
11,이음부 누수 및 수리학적 문제 해결을 위한 갱생(개량)공법 선정에 대한 설명으로 옳지 않은 것은?,"이음부 누수가 확인된 관로는 이음부 누수 보수 이후 수리학적, 수질 문제를 고려한 갱생(개량)공법을 적용해야 한다23.",구조적 문제 발생 시 완전구조적 갱생공법 또는 교체공법을 통해 이음부 누수가 해결될 수 있으므로 별도의 수리과정을 적용할 필요가 없다23.,"수리학적 문제가 확인된 관로는 수리학적 문제점을 개선할 수 있는 준구조적, 완전구조적, 교체공법을 적용해야 한다23.","특별한 제한조건이 없는 경우, 굴착에 따른 민원 발생, 경제성 등을 고려하여 완전구조적 갱생공법을 우선 적용해야 한다23.","준구조적 갱생공법보다 완전구조적 갱생공법의 공사비용이 저렴할 경우, 관리자의 판단 하에 완전구조적 갱생공법을 적용할 수 있다24.",4,"특별한 제한조건이 없는 경우, 굴착에 따른 민원 발생, 경제성 등을 고려하여 반드시 준구조적 갱생공법을 적용한다23."
12,상수도 공사의 갱생공법에 대한 비용-편익 분석(BCA)의 종류 및 특징에 대한 설명으로 옳은 것은?,비용-편익 분석은 대안들 중 비용이 같다면 편익이 가장 작은 대안을 선택하는 기법이다25.,"NPV(Net Present Value)는 대안 선택 시 명확한 기준 제시가 어려우며, 사업의 절대적 규모 미고려라는 단점이 있다26.",B/C 비율(Benefit/Cost) 분석방법은 상호배타적 대안 선택 시 오류 발생 가능성이 낮다26.,"IRR(Internal Rate of Return)은 이해하기 쉽고, 투자 안의 절대적 규모를 고려한다는 장점이 있다26.",B/C 비율은 편익의 현재가치를 비용의 현재가치로 나눈 수치로 계산한다26.,5,"B/C 비율(Benefit/Cost)은 편익의 현재가치를 비용의 현재가치로 나눈 수치로 계산된다2627. NPV는 이해의 어려움, IRR은 사업의 절대적 규모 미고려 및 여러 내부수익률 도출 가능성이 있다26. B/C 비율은 상호배타적 대안 선택 시 오류 발생 가능성이 있다26. 비용-편익 분석은 편익이 가장 큰 대안을 선택하는 기법이다25."
13,상수도 관로 개량에서 비구조적 갱생공법에 대한 설명으로 옳지 않은 것은?,관 외면의 부식을 방지하거나 기존 부식 부위에 대한 구조적 보완이 가능하다28.,"관 내면의 이물질을 세척 또는 세관으로 제거한 후, 관의 부식으로 인한 수질 악화나 통수능력 회복이 필요할 때 사용된다28.",관로에 미세하게 발생한 균열이나 구멍이 있으나 구조적인 안정성에는 영향이 없을 경우에도 활용 가능하다28.,비구조적 갱생공법의 주요 목적은 부식방지 및 수질개선이므로 라이닝이 기존관과 제대로 부착되어 수분과 산소 유입을 차단해야 한다2829.,"시멘트 모르터 라이닝, 에폭시 라이닝, 폴리우레탄 라이닝, 폴리우레아 라이닝 공법 등이 있다29.",1,"비구조적 갱생공법은 관 외면의 부식을 방지하거나 기존 부식 부위에 대한 구조적 보완은 불가능하며, 관 내면의 이물질 제거 후 관의 부식으로 인한 수질 악화나 통수능력 회복에 사용된다28."
14,상수도 관로 개량에서 준구조적 갱생공법에 대한 설명으로 옳은 것은?,"부식 방지 기능 외에도 기존관에 발생한 모든 구조적인 문제점(균열, 구멍 등)에 대한 완벽한 조치가 가능한 수준의 성능 향상을 도모할 수 있는 공법이다29.","완전한 구조적인 안정성을 확보할 수 있으며, 교체 수준의 성능을 나타낸다29.",분사형 라이닝 공법은 구조적 안정성을 확보하기 어려우므로 준구조적 갱생공법에 포함될 수 없다29.,현재 국내에서 개발되어 활용 중인 삽입형 라이닝 공법 가운데 삽입 후 라이너에 대한 별도 처리과정이 필요 없는 경우가 준구조적 갱생공법에 포함된다29.,"현장경화 라이닝 공법, 관경 축소 밀착 공법 등이 준구조적 갱생공법에 해당한다30.",5,"현장경화 라이닝 공법(반전삽입 라이닝 공법, 호스삽입 라이닝 공법)과 관경 축소 밀착 공법이 준구조적 갱생공법에 해당한다30. 준구조적 갱생공법은 기존관에 발생한 일부 구조적인 문제점(균열, 구멍 등)에 조치가 가능한 수준의 성능 향상을 도모하며, 완전한 구조적인 안정성을 확보할 수는 없다29. 삽입 후 라이너에 대한 별도 처리과정이 필요한 경우 준구조적 갱생공법에 포함된다29."
15,상수도 관로 개량에서 완전구조적 갱생공법에 대한 설명으로 옳지 않은 것은?,신관과 동일한 수준의 외부 충격 또는 종 방향/굽힘 강도를 나타낸다30.,기존관과 독립적으로 강도를 측정하여 기존관의 운영조건 중 최대허용압력을 견딜 수 있어야 한다30.,라이닝은 완벽한 수밀성을 보여야 누수로 인한 기존관의 파손을 방지할 수 있다3031.,"PE 라이닝 소재를 활용한 강관 라이닝 갱생공법, 강관, 도복장강관 등 신관 삽입공법, 기타 비굴착 삽입공법 등이 있다31.","굴착이 불가능하고, 밸브·분기관 등 연결부의 밀집도가 낮은 경우에는 교체공법보다 완전구조적 갱생공법을 적용하는 것이 바람직하다31.",1,"완전구조적 갱생공법이 신관과 동일한 수준의 외부 충격 또는 종 방향/굽힘 강도를 만족시킬 필요는 없으나, 일정 수준 이상의 강도를 유지해야 한다30."
16,갱생공법 전처리(세관) 방법 중 피그(Pigging) 공법에 대한 설명으로 옳은 것은?,주로 고수압의 물을 관내에 분사하여 세관하는 방법이다32.,"피그는 폴리우레탄의 탄성이 없는 물체로, 관벽의 손상을 유발할 수 있다32.",침적물이나 미생물 막 제거를 위해서는 표면에 브러쉬 등 거친 표면을 가진 피그를 이용한다33.,"장거리 이용 시 단수지역이 넓어지고, 단거리 이용 시 비경제적인 것이 단점이다33.","피그의 적정 주행 속도는 2.03.0m/min이며, 적용 적정 관경 범위는 1003000mm이다34.",4,"피그 공법의 단점은 장거리 이용 시 단수지역이 넓어지며, 단거리 이용 시 비경제적이라는 것이다33. 피그는 폴리우레탄의 탄성형 물체이며32, 침적물 제거에는 부드러운 피그를, 단단한 스케일 제거에는 거친 표면의 피그를 이용한다33. 고수압 물 분사는 워터젯(Water Jetting) 공법이다34. 피그의 적정 주행 속도는 0.51.5m/min이고, 적정 관경 범위는 506000mm이다34."
17,갱생공법 전처리(세관) 방법 중 워터젯(Water Jetting) 공법에 대한 설명으로 옳지 않은 것은?,펌프에 의한 초고압수를 분사헤드로 분사시켜 물의 압력만으로 관 내면에 부착된 오염물질을 제거한다34.,"단단한 부식층 및 노후 라이닝 제거가 가능하며, 내부 재라이닝을 위한 오래되거나 손상된 라이닝 제거에도 사용된다35.","세관헤드에서의 수압은 1000kgf/cm² 이내로 하는 것이 좋으며, 그 이상에서는 침식이 넓게 퍼진 관에 손상이 발생할 우려가 있다35.","세관은 50m 간격마다 작업구를 설치하여 세관할 수 있으며, 하루에 100~150m까지 세관이 가능하다35.",주로 소구경 관에 사용되며 스크레이퍼 공법과 병행하여 사용하기도 한다35.,4,"세관은 100m 간격마다 작업구를 설치하여 세관할 수 있으며, 하루에 200~300m까지 세관이 가능하다35."
18,갱생공법 전처리(세관) 방법 중 스크레이퍼(Scraping) 공법에 대한 설명으로 옳지 않은 것은?,스크레이퍼를 관내에 삽입하여 녹 및 스케일 등의 결절을 제거하는 공법이다35.,유연한 축의 주위에 탄력성이 큰 스크레이퍼를 방사상으로 여러 단을 설치한 기구를 사용한다35.,"견인식은 관경 250mm 이하의 소구경관에서 수압이 약 0.2 MPa 이상 확보될 때 유리하고, 수압식은 관경 300mm 이상의 관에 적합하다36.",견인식의 1회 시공연장은 대개 200m 전후가 일반적이고 수압식은 그 이상의 경우도 가능하다36.,"관내부에 결절이 심하게 진행된 경우 유체의 힘을 이용하는 방식보다 적합하며, 세관 장비의 속도 조절 및 위치 확인이 가능하다36.",4,견인식의 1회 시공연장은 대개 100m 전후가 일반적이다36.
19,갱생공법 전처리(세관) 방법 중 강철로드회전식(Rack feed boring) 공법의 특징으로 옳은 것은?,관내부에 삽입되는 동시에 고압의 물을 분사하여 결절을 제거하는 방법이다37.,"관내부에 단단한 결절이 심하게 생성된 경우, 제거가 가능하며 상대적으로 느리지만 경제적이다37.","운전자에 의해 운영되며, 22.5° 이상 곡관에 대해서는 적용 가능하다37.","Rods의 길이는 15ft(457.2cm) 단위이며, Boring machine이 위치한 거리로부터 조정된다37.","주로 연성 결절 제거에 사용되며, 곡관 구간에 대한 제약이 없다37.",4,"Rods의 길이는 15ft(457.2cm) 단위이며, Boring machine이 위치한 거리로부터 조정된다37. 강철로드회전식은 고압의 물 분사가 아닌 회전시켜 제거하는 방법이며37, 상대적으로 빠르고 경제적이다37. 22.5° 이상 곡관에는 적용 불가능하다37. 단단한 결절 제거에 사용된다37."
20,갱생공법 전처리(세관) 방법 중 기존 도막 제거 및 표면처리 공법에 대한 설명으로 옳지 않은 것은?,"에어샌드 공법은 규사, 모래 등을 이용하여 관내의 스케일을 제거하며, 선회 압축공기와 연마재의 입자 속도 힘을 이용한다37.","인덕션 스크레이퍼는 유도가열을 이용하며, 코팅면과 철표면의 상호결합을 깨뜨려 노후 도복장을 제거한다38.","다족식 스크레이퍼는 여러 개의 휠에 달린 칼날로 도막을 1차 제거하고, 스크레이퍼가 2차 표면을 강하게 긁어 제거한다3839.",중공식 스크레이퍼는 육각형 구조의 각 꼭지점에 설치된 여러 개의 원형 칼날로 1차 콜타르에나멜을 제거한 후 갈퀴로 최종 제거한다39.,표면처리 공법 중 임펠라 블라스팅은 압축공기를 이용하여 연마재를 관 내벽에 투사하여 표면처리를 한다39.,5,"임펠라 블라스팅은 임펠라를 고속으로 회전시켜 형성된 진공 상태에 의해 연마재가 흘러나와 임펠라 날개를 통해 강하게 관 내벽에 투사되는 방법이며, 압축공기를 이용한 방법은 공압블라스팅이다39."
21,갱생공사의 일반적인 순서에 대한 설명으로 가장 적절한 것은?,라이닝 실시 → 세관 → 관내 건조 → 사전조사 및 장비 배치 → 양생 및 검사 → 급수40.,사전조사 및 장비 배치 → 관내 잔류수 제거 및 세관 → 관내 건조 → 라이닝 실시 → 양생 및 검사 → 급수40.,관내 잔류수 제거 및 세관 → 사전조사 및 장비 배치 → 라이닝 실시 → 관내 건조 → 양생 및 검사 → 급수40.,양생 및 검사 → 사전조사 및 장비 배치 → 관내 잔류수 제거 및 세관 → 관내 건조 → 라이닝 실시 → 급수40.,관내 건조 → 라이닝 실시 → 사전조사 및 장비 배치 → 관내 잔류수 제거 및 세관 → 양생 및 검사 → 급수40.,2,"관 갱생공사의 일반적인 순서는 ① 관내 사전조사를 통해 시공계획을 세우고 장비를 배치한다. ② 해당 관내에 존재하는 잔류수를 제거하고 세관을 통해 녹, 슬라임 등의 부착물을 제거한다. ③ 세관 이후 관의 충분한 건조를 실시한다. ④ 관 부식방지 및 누수방지를 위한 라이닝을 실시한다. ⑤ 관 내면과 라이너가 일체화되도록 양생을 시킨 후 통수를 위한 복구공사와 검사를 실시한다. ⑥ 검사를 통해 갱생관의 사용 여부를 판단한 후, 소독 등 마무리 작업을 거쳐 급수를 실시한다40."
22,비구조적 갱생공법 중 에폭시수지도료 라이닝 공법의 시공 공정 및 유의사항에 대한 설명으로 옳지 않은 것은?,세관 후 관 내면을 완전히 건조시킨 다음 에폭시수지도료를 고속원심으로 분사하여 도장하는 공법이다41.,"지관 및 분기관의 시공에는 핀홀, 기포 등이 없도록 균일하게 하고 도포막은 0.5mm 이상이 되도록 한다41.","에폭시수지도료는 위생적으로 무해하고 경화 후 물에 용출되지 않아야 하며, 냄새나 맛, 색도 등 수질에 나쁜 영향을 미치지 않아야 한다41.","라이닝 직후, 관 내부에 냉풍건조 등의 조치를 강구하여 도막 경화를 촉진한다41.","세관 및 라이닝 시행 전후 도료의 배합비, 색조 등을 수시 확인해야 한다42.",4,충분히 도포막을 경화시키고 그 효과를 촉진하기 위하여 온풍건조 등의 조치를 강구한다41.
23,비구조적 갱생공법 중 모르터(세라믹모르터) 라이닝 공법에 대한 설명으로 옳지 않은 것은?,관 내부에 분사헤드의 회전에 의해 모르터 소재를 방사상에 정량적으로 분사하여 관내면에 일정한 두께로 부착한다43.,모르터 라이닝의 두께는 6~12mm 정도로 한다43.,"모르터 분사 후, 분사헤드 후미에 연결된 미장용 인두(Drag trowel 및 Rotating trowel)가 모르터 층의 표면을 매끄럽게 하고 부착력을 향상시킨다44.","충분히 양생이 진행되도록 갱생관로 양단을 밀폐하여 외부 오염물질 유입을 방지하고, 습윤상태에서 자연양생하도록 한다44.",모르터에 의해 물의 pH가 상승되는 것을 억제하기 위하여 경화된 후에 투과성이 있는 실코트(Seal coat)를 도포할 필요는 없다44.,5,모르터에 의하여 물의 pH가 상승되는 것을 억제하기 위하여 경화된 후에 투과성이 있는 실코트(Seal coat)를 도포한다44.
24,비구조적 갱생공법 중 폴리우레아 및 폴리우레탄 라이닝 공법에 대한 설명으로 옳은 것은?,일액형의 속경화성 도료를 기존 관로에 브러시 방식으로 라이닝하여 새로운 구조관을 형성하는 공법이다45.,도료의 특성상 느린 경화 속도를 가지므로 통수까지 오랜 시간을 필요로 한다45.,"라이닝의 부착력 증대를 위하여 하도와 상도를 구분하여 라이닝하며, 표면 거칠기를 형성하기 위해 스틸그리트를 관벽에 강하게 투사하여 연마를 실시한다4546.","사용되는 도료는 환경부의 수도용 기자재 및 제품의 위생안전기준을 만족해야 하며, 타르를 포함해야 한다47.",폴리우레아 라이닝 공법의 Rotating sprayer 방식은 갱생관 구경 100~900mm 이내인 경우에 고압의 공기에 의해 작동되는 방식이다48.,3,"라이닝의 부착력 증대를 위하여 하도와 상도 도장을 구분하여 실시하고, 표면 거칠기(조도)를 형성하기 위해 스틸그리트를 관벽에 강하게 투사하여 연마를 실시한다4546. 폴리우레아 및 폴리우레탄 도료는 이액형의 속경화성 도료이며45, 경화시간을 거의 갖지 않는다45. 사용되는 도료는 타르를 포함하지 않아야 한다47. Rotating sprayer 방식은 관경 1,0003,000mm에 사용되며, 100900mm는 Air sprayer 방식이다4748."
25,구조적 갱생공법 중 합성수지관 삽입 공법의 시공 공정 및 유의사항에 대한 설명으로 옳지 않은 것은?,"세관된 기존관의 내부에 관경이 약간 작은 합성수지관을 삽입하여 기존관의 구조를 보강하며, 관 내면은 평활하여 내마모성이 좋고 유속계수가 크다49.",1개 시공구간은 200m 정도로 한다49.,삽입할 합성수지관을 융착기의 클램프에 끼우고 중심내기를 한 후 35m 간격으로 발침대를 설치한다49.,"관 단면을 마감질하고 단차가 없도록 조정하며, 이때 허용단차는 관 두께의 10% 이하로 한다50.",시멘트밀크 주입 시 주입압은 118147kPa(1.2~1.5kgf/cm²)으로 한다51.,2,1개 시공구간은 100m 정도로 한다49.
26,구조적 갱생공법 중 피복재 관내 장착 공법의 시공 공정 및 반전삽입 공법에 대한 설명으로 옳지 않은 것은?,세관하여 건조시킨 관내에 접착제를 도포한 박막관을 인입하고 공기압 등으로 관 내면에 압착시킨 다음 가열하여 라이닝층을 형성시키는 공법이다52.,관로의 움직임에 대한 추종성이 좋고 곡선부의 시공이 가능하다52.,이 공법은 피복재를 관내에서 반전삽입(Inversion insertion)하여 압착하는 방법과 관내에 인입한 다음 가압하여 팽창시키는 방법이 있다52.,반전삽입 공법은 액상 에폭시 또는 폴리에스터 등으로 외면이 도장된 연성 라이너를 관에 삽입하면서 압축공기를 불어넣어 라이너를 뒤집어 내부에 라이닝을 형성시킨다53.,"반전 완료 후, 반전장치의 셔틀밸브를 열고 반전차량과 반전유도튜브쪽의 압력을 감압한 후, 반전유도튜브를 분리형 반전기에서 분리하고 반전기차를 철수한다54.",5,"반전이 완료되면 반전장치의 셔틀밸브를 닫고 반전차량과 반전유도튜브쪽의 압력을 감압한 후, 반전유도튜브를 분리형 반전기에서 분리하고 반전기차를 철수한다54."
27,구조적 갱생공법 중 기존관내 삽입 공법의 시공 공정 및 특징에 대한 설명으로 옳지 않은 것은?,단순히 청소한 기존관내에 새로운 관을 삽입하고 기존관의 내면과 새로운 관의 외면과의 간극에 모르터 등을 주입하여 중층구조로 하는 공법이다55.,"작업구, 부속설비 및 급수전을 위한 부분적인 굴착을 제외하면 지표면을 굴착하지 않고 시공할 수 있다55.","기존에 상수도관으로 사용 가능한 모든 관종을 삽입관으로 활용할 수 있으나, 일반적으로 폴리에틸렌관(PE) 및 도복장강관(SP)을 사용한다55.","강관 삽입 공법은 관내부에서 용접을 하여야 하므로 500mm 이하 소구경에 주로 사용되며, 폴리에틸렌관 삽입공법은 외부에서 관을 용착하여 삽입하므로 900mm 이하의 관에 주로 사용한다56.",관이 삽입된 후 기존 관과 삽입된 관 사이는 모르터로 그라우팅 충전하여 일체화를 시킬 수 있다56.,4,"강관 삽입 공법은 관내부에서 용접을 하여야 하므로 1000mm 이상 대구경에 주로 사용되며, 폴리에틸렌관 삽입공법은 외부에서 관을 용착하여 삽입하므로 900mm 이하의 관에 주로 사용한다56."
28,CIPP 경화시편 품질기준에 대한 설명으로 옳은 것은?,"굴곡강도 기준은 10 MPa 이상이며, 시험방법은 KS M 8015에 따른다57.","굴곡탄성계수 기준은 1.7 GPa 이상이며, 시험방법은 KS M 3015에 따른다57.","장기물성인 50년 휠탄성계수 기준은 단기값의 50% 이상이며, 50년 크리프 계수 기준은 0.1 이상이다57.","인장강도 기준은 15 MPa 이상이며, 시험방법은 KS M 3015에 따른다57.",모든 CIPP 경화시편의 품질기준은 KS D 8502-02에 따른다57.,3,"장기물성 중 50년 휠탄성계수 기준은 단기값의 50% 이상이며, 50년 크리프 계수 기준은 0.1 이상이다57. 굴곡강도 및 인장강도 기준은 KS M 8015에 따른다57, 굴곡탄성계수 기준은 KS M 3015에 따른다57."
29,상수도관로 개량 과정에서 발생하는 들뜸 및 주름 보수 방법에 대한 설명으로 옳지 않은 것은?,"들뜸은 물리적, 화학적 또는 복합적인 원인으로 발생하며, 들뜸 부위가 적을 경우 상온 경화 에폭시수지를 주입하여 보수할 수 있다57.","들뜸이 발생한 라이너는 들뜸 부위를 잘라내고 침투수 여부를 확인한 후, 패커를 이용한 부분 보수를 시행한다5758.","시공 시 곡관부에 주름이 발생하면 보통의 경우 통수능력에 미치는 영향은 미미하지만, 그 주름의 정도가 관경의 10%를 넘을 경우 보수가 필요하다58.",수지 미경화로 인한 들뜸 시에는 주름 부위에 수지 주입구를 만들어 상온 경화성 에폭시수지를 주입하여 경화시키고 압축장비를 이용해 주름을 눌러 복구시킨다58.,곡관부 주름 부위 확인 시 육안 검사 및 계측기 등을 이용한 주름 정도 측정은 필요하지 않다58.,5,곡관부 주름 부위 확인 시 육안검사 및 계측기 등을 이용 주름 정도 측정(한계치는 관경의 10% 이내)을 실시한다58.
30,상수도관로 갱생 공법의 품질관리 중 라이닝 시공 후 외관(육안) 검사 및 부착 검사 기준에 대한 설명으로 옳지 않은 것은?,"라이닝 직후, 경화 이전에 갱생관로의 입-출구에서는 육안으로 라이닝의 유무를 확인하여야 한다58.","라이닝 시공 후 균열, 흘러내림, 이물질 배어나옴 등은 발견되지 않아야 한다59.",핀홀은 고전압 홀리데이 검출기로 검사한다59.,"라이닝 부착강도 기준은 10 MPa(100 kgf/cm²) 이상이며, 시험방법은 ASTM D 4541에 따른다59.",라이닝 시공 후 기포(수포)는 육안으로 발견되어야 한다59.,5,라이닝 시공 후 기포(수포)는 육안으로 발견되지 않아야 한다59.
31,상수도관로 갱생 공법의 품질관리 중 라이닝 두께 검사 및 도료별 품질기준에 대한 설명으로 옳지 않은 것은?,"라이닝 직후, 갱생관의 입구와 출구 쪽에서 상-하-좌-우 4지점(총 8개 지점)에서 두께를 측정한다5960.","측정된 라이닝의 두께는 제시한 적정두께 이상이 되어야 하며, 이를 기록하여 발주처에 보고한다60.","에폭시수지 도료 라이닝 이후 핀홀, 기포 등이 없어야 하고, 도막두께는 0.5mm 이상이 되도록 한다60.","폴리우레아 및 폴리우레탄 라이닝 도료는 환경부의 수도용 기자재 및 제품의 위생안전기준을 만족시켜야 하며, 무용제형 도료로써 타르를 포함하지 않아야 한다6162.",폴리우레아 라이닝 도료의 경화 건조시간 기준은 24시간 이내(23±2℃)에 경화 건조상태로 될 것이다62.,5,폴리우레아 라이닝 도료의 경화 건조시간 기준은 **12시간 이내(23±2℃)**에 경화 건조상태로 될 것이다62.
